ammuvainaan nuotilla ,"epäpuhtaasti, nuotin vierestä   ",Jotkut humalaiset mölis ja laulo ammuvainaan nuotilla. Pappi veisas kovaa mutta ihan ammuvainaan nuotilla. ,out of tune
ampua lonkalta ,"ampua nopeasti, tähtäämättä lonkan korkeudelta  ","Älä tähtää, ku ammu vaan lonkalta! ",shoot from the hip
ampua yli ,"liioitella, mennä liian pitkälle ","Musta noi eläintensuojelijat ampuu vähän yli. Äikänope sano, et mä ammuin yli siinä aineessa. ",overdo
antaa ,"suostua sukupuoliyhdyntään, antaa naida  ","Anna nyt mulle! Annoiks sä siljätkälle? Sejätkä ei oo antanu viikkoon, ",to consent to sex
antaa hanaa ,"kaasuttaa, ajaa kovaa, mennä kovaa  ","slg. Heti ku päästiin moottoritielle, mä annoin hanaa. Annas hanaa, etpäästään ohi tosta traktorista! ","""step on it"""
antaa heittää ,"mene tiehesi, häivy, ala vetää, antaa vetää  ","Hei sä siellä, antaa heittää vaan pihalle siitä! ","""Get off!"""
antaa huutia ,"nuhdella, torua  ","Poliisit anto meille huutia, ku pyörässä ei ollu valoja. Kyllä mä annan huutia niille puhelinmyyjille. ",rebuke
antaa kenkää ,"erottaa työsuhteesta, potkia pois jostakin, lopettaa seurustelu ","Sille juopolle annettiin lopulta kenkää. Valmentaja antaa kenkää, jos ei käy treeneissä. Niina anto kenkää sille jätkälle. ","dismiss, fire, leave sb"
antaa kyytiä ,"ajaa tiehensä, karkottaa; lyödä, antaa selkään, voittaa ylivoimaisesti  ",Nyt pitää mennä tai noi vartijat antaa meille kyytiä. Suomi anto Ruotsille kyytiä lätkän MM-kisoissa. ,drive (sb) off; beat
antaa liekaa ,"antaa jollekin vapauksia, mahdollisuuksia  ","Heti ku mä annan sille lapselle vähänkin liekaa, se menee ihan mahottomaks. Nyt on tässä pelissä niin kova vastustaja, et liekaa ei voi antaa yhtään. ","allow liberties, give a chance"
antaa mennä ,"huolettomana kehotuksena: siitä vaan, olkoon, antaa palaa  ","""Otetaanko vielä yhet? - Antaa mennä!"" ""Joko mä painan ? - Anna mennä!"" ","""Go ahead!"""
antaa olla ,"ärtyneenä kehotuksena: riittää, lopeta jo, älä tee mitään  ","Antaa olla, mua ottaa päähän koko touhu. ""Ymmärrätkö sä? - Joo joo, anna olla jo!"" ","""Leave it!"""
antaa palaa ,"huolettomana, riehakkaana kehotuksena: siitä vaan, antaa mennä  ","""Tuleeks sielt ketään ? - Ei tuu, antaa palaa vaan!"" Anna palaa, äläkä mieti turhia! ","""Go ahead""!"
antaa palttua ,olla välittämättä jostakin  ,"Älä välitä sen jätkän jutuista, anna palttua vaan. Mä annoin palttua koko jutulle, ",to not care
antaa pitkät ,"olla välittämättä jostakin, suuttua, haistattaa pitkät  ","Tommoselle nuijalle mä annan pitkät. Joskus tekis mieli antaa vaan pitkät kaikille, ",to not care
